"Reference","Qty","Value","Footprint"," Manufacturer","MPN","Notes"
"R5,R6","2","16K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","683-3099P","https://uk.rs-online.com/web/p/through-hole-resistors/6833099P?gb=s"
"R4,R9,R14","3","4k7","Resistor_SMD:R_2512_6332Metric","RS","224-0424P","https://uk.rs-online.com/web/p/surface-mount-resistors/2240424P?gb=s"
"R3,R7,R10","3","470R","Resistor_SMD:R_2512_6332Metric","RS","755-1233","https://uk.rs-online.com/web/p/surface-mount-resistors/7551233?gb=s"
"R2","1","0R","Resistor_SMD:R_2512_6332Metric","RS","683-6552","https://uk.rs-online.com/web/p/surface-mount-resistors/6836552?gb=s"
"R1","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","125-1159","https://uk.rs-online.com/web/p/through-hole-resistors/1251159?gb=s"
"Q1,Q2,Q3","3","2N3904","Package_TO_SOT_THT:TO-92_Inline","RS","843-1575","https://uk.rs-online.com/web/p/bipolar-transistors/8431575?gb=s"
"J3","1","SIGNAL_INPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","RS","790-1098","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901098"
"J2","1","PW_OUTPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","RS","790-1092","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901092"
"J1","1","PW_INPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","RS","790-1092","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901092"
"D6","1","LEDG","LED_THT:LED_D3.0mm","DigiKey","5962-XL-302UGD-ND","https://www.digikey.co.uk/en/products/detail/xinglight/XL-302UGD/25673198"
"D4","1","LEDB","LED_THT:LED_D3.0mm","DigiKey","5962-XL-302UBD-ND","https://www.digikey.co.uk/en/products/detail/xinglight/XL-302UBD/25673046"
"D3,D5,D7","3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Digikey","1N4148FS-ND","https://www.digikey.co.uk/en/products/detail/onsemi/1N4148/458603"
"D2","1","LEDR","LED_THT:LED_D3.0mm","DigiKey","5962-XL-302URD-ND","https://www.digikey.co.uk/en/products/detail/xinglight/XL-302SURD/25673354"
"D1","1","LEDY","LED_THT:LED_D3.0mm","DigiKey","5962-XL-302UYD-ND","https://www.digikey.co.uk/en/products/detail/xinglight/XL-302UYD/25673212?s=N4IgjCBcoKwEwyqAxlAZgQwDYGcCmANCAPZQDaIALHAMxwAMlIAukQA4AuUIAyhwE4BLAHYBzEAF8iDOAE4kIVJEy5CJcuADs9GgDZdLdl0i8BI8VJABaCNEXps%2BIqUgUYs3XBYSfQA"
"C10","1","33n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","RS","133-5725","https://uk.rs-online.com/web/p/mlccs-multilayer-ceramic-capacitors/1335725?gb=s"
"C9","1","10n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","RS","841-0733","https://uk.rs-online.com/web/p/mlccs-multilayer-ceramic-capacitors/8410733?gb=s"
"C5,C6,C7,C8,C11,C12,C13,C14","8","100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","RS","852-3270","https://uk.rs-online.com/web/p/mlccs-multilayer-ceramic-capacitors/8523270?cm_mmc=UK-PLA-DS3A-_-google-_-CSS_UK_EN_PMAX_Catch+All-_--_-8523270&matchtype=&&gclsrc=aw.ds&gad_source=1&gad_campaignid=20567417192&gbraid=0AAAAADkeWNOl0cWuExnRRaxKjYT31WrYx&gclid=Cj0KCQjw5onGBhDeARIsAFK6QJaIGV3vCEjXbfPE3YOPKOMIcqedHmu7kTYnXqeYTS6g5oBbhO63kBMaAiXDEALw_wcB"
"C2,C4","2","100u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","RS","526-1597","https://uk.rs-online.com/web/p/aluminium-capacitors/5261597?gb=s"
"C1,C3","2","470u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","RS","703-7318","https://uk.rs-online.com/web/p/aluminium-capacitors/7037318?gb=s"
"BR1","1","DB107-BP","Diode_THT:Diode_Bridge_DIP-4_W7.62mm_P5.08mm","DigiKey","DB107-BPMS-ND","Link https://www.digikey.co.uk/en/products/detail/mcc-micro-commercial-components-/DB107-BP/773574?gclsrc=aw.ds&gad_source=1&gad_campaignid=19510052873&gbraid=0AAAAADrbLliYsxl5IaB90-mP9Y_ucWSJb&gclid=Cj0KCQjw5onGBhDeARIsAFK6QJYpWI8zAuGLL-eBv7v0AVOpOO0swKNAhEvY7IZ-UzinA7t7A_Jc0swaAtbPEALw_wcB"
